persona,principle_a,principle_b,raw_r,partial_r,is_focal,partial_rank
baseline,respect-user-attention,enable-meaningful-choices,0.3475436353516523,-0.494595955202762,False,27.0
baseline,respect-user-attention,enhance-human-capabilities,0.32904344651309825,-0.07459144949771761,False,23.0
baseline,respect-user-attention,protect-dignity-and-safety,0.18687440048201798,-0.8571695366641447,False,28.0
baseline,respect-user-attention,foster-healthy-relationships,0.499563746422765,0.2752138314672572,False,13.0
baseline,respect-user-attention,prioritize-long-term-wellbeing,0.30230199045027817,-0.4495353445868435,False,26.0
baseline,respect-user-attention,be-transparent-and-honest,0.6318870867373456,0.6200496383146276,False,4.0
baseline,respect-user-attention,design-for-equity-and-inclusion,0.5882643606857999,0.4509132719281183,False,8.0
baseline,enable-meaningful-choices,enhance-human-capabilities,0.7865551965724892,0.494395339501209,False,6.0
baseline,enable-meaningful-choices,protect-dignity-and-safety,0.9723001995886461,0.9599610286835039,False,1.0
baseline,enable-meaningful-choices,foster-healthy-relationships,0.6594902752457621,0.016917520153798327,False,19.0
baseline,enable-meaningful-choices,prioritize-long-term-wellbeing,0.9467956025413917,0.838551957392389,True,3.0
baseline,enable-meaningful-choices,be-transparent-and-honest,0.834458947972806,0.26621917590751343,False,14.0
baseline,enable-meaningful-choices,design-for-equity-and-inclusion,0.8345546935185565,0.36383033657690594,False,11.0
baseline,enhance-human-capabilities,protect-dignity-and-safety,0.7542824034008615,0.47428546662736093,False,7.0
baseline,enhance-human-capabilities,foster-healthy-relationships,0.7309781014077534,0.42731107990092254,False,9.0
baseline,enhance-human-capabilities,prioritize-long-term-wellbeing,0.8271020801113206,0.5929886116257257,False,5.0
baseline,enhance-human-capabilities,be-transparent-and-honest,0.6472287013524074,-0.1641023636191581,False,25.0
baseline,enhance-human-capabilities,design-for-equity-and-inclusion,0.6505372912233187,0.009226109459355987,False,20.0
baseline,protect-dignity-and-safety,foster-healthy-relationships,0.6000844725940538,0.034972220750704386,False,18.0
baseline,protect-dignity-and-safety,prioritize-long-term-wellbeing,0.9440794910671723,0.8658625845564903,False,2.0
baseline,protect-dignity-and-safety,be-transparent-and-honest,0.792305413992616,0.4018551554629866,False,10.0
baseline,protect-dignity-and-safety,design-for-equity-and-inclusion,0.7710645313279818,0.3375523894744777,False,12.0
baseline,foster-healthy-relationships,prioritize-long-term-wellbeing,0.626231528703849,-0.03570371145871322,False,22.0
baseline,foster-healthy-relationships,be-transparent-and-honest,0.7147352010956274,0.15883423230578175,False,16.0
baseline,foster-healthy-relationships,design-for-equity-and-inclusion,0.6248838857360509,-0.10478004409843755,False,24.0
baseline,prioritize-long-term-wellbeing,be-transparent-and-honest,0.7829764266365677,0.0387906350568355,False,17.0
baseline,prioritize-long-term-wellbeing,design-for-equity-and-inclusion,0.7796386422802747,0.1612759169241643,False,15.0
baseline,be-transparent-and-honest,design-for-equity-and-inclusion,0.7929884717340542,-0.03488988400013768,False,21.0
good_persona,respect-user-attention,enable-meaningful-choices,0.8707464788071805,0.30075264954717684,False,10.0
good_persona,respect-user-attention,enhance-human-capabilities,0.7294736854432006,-0.1823723682709239,False,25.0
good_persona,respect-user-attention,protect-dignity-and-safety,0.8362860425035149,0.19016906402722916,False,15.0
good_persona,respect-user-attention,foster-healthy-relationships,0.6370547994759415,0.1054688502088045,False,19.0
good_persona,respect-user-attention,prioritize-long-term-wellbeing,0.7753617583693732,-0.2598346565201542,False,28.0
good_persona,respect-user-attention,be-transparent-and-honest,0.8324671259970071,0.24829634330213005,False,13.0
good_persona,respect-user-attention,design-for-equity-and-inclusion,0.7843719080491885,0.15029376356299723,False,17.0
good_persona,enable-meaningful-choices,enhance-human-capabilities,0.8908388083969326,0.4341641989877763,False,5.0
good_persona,enable-meaningful-choices,protect-dignity-and-safety,0.9301936138037832,0.2995957967605285,False,11.0
good_persona,enable-meaningful-choices,foster-healthy-relationships,0.7265122072184923,0.32911112325412595,False,8.0
good_persona,enable-meaningful-choices,prioritize-long-term-wellbeing,0.9447835208038426,0.5656033313679162,True,3.0
good_persona,enable-meaningful-choices,be-transparent-and-honest,0.9445012257916023,0.6418183129067213,False,1.0
good_persona,enable-meaningful-choices,design-for-equity-and-inclusion,0.8322593118328373,-0.25512281682583454,False,27.0
good_persona,enhance-human-capabilities,protect-dignity-and-safety,0.834438896406567,0.13541734646537293,False,18.0
good_persona,enhance-human-capabilities,foster-healthy-relationships,0.6106392701484218,0.0025994906258450315,False,21.0
good_persona,enhance-human-capabilities,prioritize-long-term-wellbeing,0.8882546989418149,0.47350497354179677,False,4.0
good_persona,enhance-human-capabilities,be-transparent-and-honest,0.8417176972585594,0.26329773855350125,False,12.0
good_persona,enhance-human-capabilities,design-for-equity-and-inclusion,0.8076535629678929,0.2295196572739303,False,14.0
good_persona,protect-dignity-and-safety,foster-healthy-relationships,0.7491958610350976,0.4241715600810214,False,6.0
good_persona,protect-dignity-and-safety,prioritize-long-term-wellbeing,0.883300180609716,0.16034850397823877,False,16.0
good_persona,protect-dignity-and-safety,be-transparent-and-honest,0.8526846435933186,-0.1643660140863482,False,24.0
good_persona,protect-dignity-and-safety,design-for-equity-and-inclusion,0.9138674856079345,0.6343729578317607,False,2.0
good_persona,foster-healthy-relationships,prioritize-long-term-wellbeing,0.7294382397702321,0.32772508758044694,False,9.0
good_persona,foster-healthy-relationships,be-transparent-and-honest,0.6026461656800519,-0.2302300112770771,False,26.0
good_persona,foster-healthy-relationships,design-for-equity-and-inclusion,0.5687027728745943,-0.13373843172367408,False,23.0
good_persona,prioritize-long-term-wellbeing,be-transparent-and-honest,0.9027492357420166,0.42290734217027176,False,7.0
good_persona,prioritize-long-term-wellbeing,design-for-equity-and-inclusion,0.7977632357115867,-0.05823777429377322,False,22.0
good_persona,be-transparent-and-honest,design-for-equity-and-inclusion,0.8176940017568652,0.1018785381537286,False,20.0
bad_persona,respect-user-attention,enable-meaningful-choices,0.9184997803337888,-0.747275298054636,False,28.0
bad_persona,respect-user-attention,enhance-human-capabilities,0.8915102011011478,-0.30497517726901735,False,24.0
bad_persona,respect-user-attention,protect-dignity-and-safety,0.9529267951182872,0.27628134765527135,False,11.0
bad_persona,respect-user-attention,foster-healthy-relationships,0.9467069728715143,0.022772574130658224,False,18.0
bad_persona,respect-user-attention,prioritize-long-term-wellbeing,0.9431183570557351,-0.12034881675026365,False,22.0
