persona,principle_a,principle_b,n_models,pearson_r,pearson_ci_lower,pearson_ci_upper,spearman_rho,spearman_ci_lower,spearman_ci_upper,n_zero_variance_reps,r_corrected,reliability_x,reliability_y,var_x,var_y,mean_se2_x,mean_se2_y,valid,r_corrected_ci_lower,r_corrected_ci_upper,ci_method,is_focal_pair,scenario_level_significant,scenario_level_p_holm,tost_equivalent,rank_abs_r_raw,rank_abs_r_corrected
baseline,respect-user-attention,enable-meaningful-choices,15,0.3475436353516523,0.208632556841344,0.46059778741324114,0.23413771637104297,0.04642857142857142,0.4787161736083932,0,0.3700725863987713,0.923914205141666,0.9545819189880862,0.036579915323671296,0.013472926097594703,0.0027832119332520822,0.0006119144489680843,True,0.23726266450249084,0.5213351598466514,plugin_approx,False,True,0.0055994400559944,False,25.0,25.0
baseline,respect-user-attention,enhance-human-capabilities,15,0.32904344651309825,0.14434991950677303,0.45721624069954026,0.3092047704747361,0.007149083595342936,0.575,0,0.3633054014368883,0.923914205141666,0.887832700767003,0.036579915323671296,0.004842695961241602,0.0027832119332520822,0.0005431921269790128,True,0.1764165446691094,0.5691760128250285,plugin_approx,False,True,0.0055994400559944,False,26.0,26.0
baseline,respect-user-attention,protect-dignity-and-safety,15,0.18687440048201798,0.03834416310818053,0.3211222337803685,0.21071428571428572,-0.014286353181702014,0.36858803986710953,0,0.19875804607986136,0.923914205141666,0.9567942197759995,0.036579915323671296,0.011750809772970437,0.0027832119332520822,0.0005077029045049968,True,0.04311310807529775,0.36645482900356513,plugin_approx,False,True,0.0055994400559944,False,28.0,28.0
baseline,respect-user-attention,foster-healthy-relationships,15,0.499563746422765,0.2602653611979703,0.6510237496160503,0.40929417594632705,0.20339285714285713,0.6750892857142856,0,0.616964347481162,0.923914205141666,0.7096268623386578,0.036579915323671296,0.001129434605069759,0.0027832119332520822,0.00032795747005740476,True,0.3855400261580357,1.342719630890281,plugin_approx,False,True,0.0055994400559944,False,24.0,24.0
baseline,respect-user-attention,prioritize-long-term-wellbeing,15,0.30230199045027817,0.14405897265004666,0.4277171120854023,0.47142857142857136,0.17172757475083056,0.6273460950094357,0,0.32261334966108457,0.923914205141666,0.9503546415664554,0.036579915323671296,0.0028122352665288937,0.0027832119332520822,0.00013961442780628173,True,0.1619046622126429,0.4979044350617082,plugin_approx,False,True,0.0055994400559944,False,27.0,27.0
baseline,respect-user-attention,be-transparent-and-honest,15,0.6318870867373456,0.41201200838524754,0.7378627070224462,0.6749999999999999,0.3391964285714285,0.782142857142857,0,0.7046889618942075,0.923914205141666,0.8702667247337073,0.036579915323671296,0.02506696565976343,0.0027832119332520822,0.0032520195560287956,True,0.5117134985746744,0.9397125552276037,plugin_approx,False,True,0.0055994400559944,False,19.0,22.0
baseline,respect-user-attention,design-for-equity-and-inclusion,15,0.5882643606857999,0.37759450650388954,0.6998445926529735,0.682142857142857,0.3217087617904321,0.768035714285714,0,0.6946218420461492,0.923914205141666,0.7762767174771147,0.036579915323671296,0.0059056473829201105,0.0027832119332520822,0.0013212308179295742,True,0.5365545617036984,1.1891246925642065,plugin_approx,False,True,0.0055994400559944,False,23.0,23.0
baseline,enable-meaningful-choices,enhance-human-capabilities,15,0.7865551965724892,0.5773680357569337,0.8860073974151551,0.7298747763864043,0.5035714285714286,0.8740201123878167,0,0.8543917264416978,0.9545819189880862,0.887832700767003,0.013472926097594703,0.004842695961241602,0.0006119144489680843,0.0005431921269790128,True,0.6672240640526644,1.0901787617538843,plugin_approx,False,True,0.0055994400559944,False,9.0,14.0
baseline,enable-meaningful-choices,protect-dignity-and-safety,15,0.9723001995886461,0.9099114890351716,0.9761701401707247,0.947274730356128,0.8284821428571427,0.9714285714285713,0,1.0173830583612895,0.9545819189880862,0.9567942197759995,0.013472926097594703,0.011750809772970437,0.0006119144489680843,0.0005077029045049968,True,0.9991827157807415,1.0775595762830028,plugin_approx,False,True,0.0055994400559944,False,1.0,1.0
baseline,enable-meaningful-choices,foster-healthy-relationships,15,0.6594902752457621,0.4035158514806039,0.7716942353629448,0.7799642218246869,0.48078660842603477,0.8428948714971513,0,0.8012845526279466,0.9545819189880862,0.7096268623386578,0.013472926097594703,0.001129434605069759,0.0006119144489680843,0.00032795747005740476,True,0.6275961580607096,1.5088914650969616,plugin_approx,False,True,0.0055994400559944,False,16.0,17.0
