principle_a,principle_b,a_designed_a_scored,a_designed_b_scored,b_designed_a_scored,b_designed_b_scored,diff_within_a,diff_within_b,interaction,ci_lower,ci_upper,p_value,estimable,excludes_zero,n_scenarios_a,n_scenarios_b,p_holm,significant,failure_class,ci90_lower,ci90_upper,tost_bound,equivalent
respect-user-attention,enable-meaningful-choices,-0.2361111111111111,-0.1875,0.1111111111111111,0.5347222222222222,-0.048611111111111105,0.4236111111111111,0.375,0.14583333333333337,0.6041666666666666,0.0011998800119988001,True,True,24,24,0.005599440055994401,True,,0.18749999999999997,0.5694444444444444,0.5,False
respect-user-attention,enhance-human-capabilities,-0.2361111111111111,0.09027777777777778,-0.041666666666666664,0.7777777777777778,-0.3263888888888889,0.8194444444444444,0.4930555555555555,0.26388888888888884,0.7222222222222222,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.2986111111111111,0.6875,0.5,False
respect-user-attention,protect-dignity-and-safety,-0.2361111111111111,-0.3194444444444444,0.4444444444444444,0.7222222222222222,0.08333333333333331,0.2777777777777778,0.3611111111111111,0.19444444444444445,0.5347222222222222,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.2222222222222222,0.5069444444444444,0.5,False
respect-user-attention,foster-healthy-relationships,-0.2361111111111111,-0.2916666666666667,0.1111111111111111,0.7777777777777778,0.05555555555555558,0.6666666666666667,0.7222222222222223,0.5277777777777778,0.9097222222222222,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.5625,0.8819444444444444,0.5,False
respect-user-attention,prioritize-long-term-wellbeing,-0.2361111111111111,-0.006944444444444444,0.2222222222222222,0.8958333333333334,-0.22916666666666666,0.6736111111111112,0.44444444444444453,0.2569444444444445,0.625,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.2847222222222223,0.5972222222222223,0.5,False
respect-user-attention,be-transparent-and-honest,-0.2361111111111111,-0.4583333333333333,-0.08333333333333333,0.4861111111111111,0.2222222222222222,0.5694444444444444,0.7916666666666666,0.5692708333333335,1.0208333333333333,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.6041666666666667,0.9861111111111112,0.5,False
respect-user-attention,design-for-equity-and-inclusion,-0.2361111111111111,-0.2986111111111111,0.0763888888888889,0.6041666666666666,0.0625,0.5277777777777777,0.5902777777777777,0.375,0.8055555555555556,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.4097222222222222,0.7708333333333334,0.5,False
enable-meaningful-choices,enhance-human-capabilities,0.5347222222222222,0.8125,0.04861111111111111,0.7777777777777778,-0.2777777777777778,0.7291666666666666,0.45138888888888884,0.22222222222222227,0.6736111111111112,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.26388888888888884,0.638888888888889,0.5,False
enable-meaningful-choices,protect-dignity-and-safety,0.5347222222222222,0.04861111111111111,0.6388888888888888,0.7222222222222222,0.4861111111111111,0.08333333333333337,0.5694444444444444,0.35416666666666663,0.7847222222222221,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.3888888888888889,0.75,0.5,False
enable-meaningful-choices,foster-healthy-relationships,0.5347222222222222,0.04861111111111111,0.7222222222222222,0.7777777777777778,0.4861111111111111,0.05555555555555558,0.5416666666666667,0.32638888888888895,0.75,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.36111111111111116,0.7222222222222221,0.5,False
enable-meaningful-choices,prioritize-long-term-wellbeing,0.5347222222222222,0.625,0.6666666666666666,0.8958333333333334,-0.09027777777777779,0.22916666666666674,0.13888888888888895,-0.04166666666666674,0.32638888888888884,0.14338566143385661,True,False,24,24,0.14338566143385661,False,bounded near zero,-0.013888888888888895,0.29201388888888397,0.5,True
enable-meaningful-choices,be-transparent-and-honest,0.5347222222222222,-0.4166666666666667,-0.20833333333333334,0.4861111111111111,0.9513888888888888,0.6944444444444444,1.6458333333333333,1.4027777777777777,1.8819444444444446,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,1.4444444444444444,1.847222222222222,0.5,False
enable-meaningful-choices,design-for-equity-and-inclusion,0.5347222222222222,0.1111111111111111,0.2986111111111111,0.6041666666666666,0.4236111111111111,0.3055555555555555,0.7291666666666666,0.5208333333333333,0.9375,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.5486111111111112,0.9027777777777778,0.5,False
enhance-human-capabilities,protect-dignity-and-safety,0.7777777777777778,-0.3125,0.7986111111111112,0.7222222222222222,1.0902777777777777,-0.07638888888888895,1.0138888888888888,0.7916666666666666,1.2222222222222223,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.826388888888889,1.1875,0.5,False
enhance-human-capabilities,foster-healthy-relationships,0.7777777777777778,-0.3125,0.8888888888888888,0.7777777777777778,1.0902777777777777,-0.11111111111111105,0.9791666666666666,0.7847222222222222,1.159722222222222,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.8194444444444444,1.1319444444444444,0.5,False
enhance-human-capabilities,prioritize-long-term-wellbeing,0.7777777777777778,0.2361111111111111,0.8680555555555556,0.8958333333333334,0.5416666666666667,0.02777777777777779,0.5694444444444445,0.35416666666666663,0.798611111111111,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.3819444444444444,0.7569444444444444,0.5,False
enhance-human-capabilities,be-transparent-and-honest,0.7777777777777778,-0.4444444444444444,0.05555555555555555,0.4861111111111111,1.2222222222222223,0.4305555555555556,1.652777777777778,1.3888888888888888,1.909722222222222,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,1.4305555555555558,1.8680555555555556,0.5,False
enhance-human-capabilities,design-for-equity-and-inclusion,0.7777777777777778,0.013888888888888888,0.5347222222222222,0.6041666666666666,0.763888888888889,0.06944444444444442,0.8333333333333334,0.5833333333333334,1.0694444444444446,0.00019998000199980003,True,True,24,24,0.005599440055994401,True,,0.625,1.0347222222222223,0.5,False
