principle_a,principle_b,a_designed_a_scored_deployed,a_designed_b_scored_deployed,b_designed_a_scored_deployed,b_designed_b_scored_deployed,diff_within_a_deployed,diff_within_b_deployed,interaction_deployed,ci_lower_deployed,ci_upper_deployed,p_value_deployed,estimable_deployed,excludes_zero_deployed,n_scenarios_a_deployed,n_scenarios_b_deployed,p_holm_deployed,significant_deployed,failure_class_deployed,a_designed_a_scored_rules27,a_designed_b_scored_rules27,b_designed_a_scored_rules27,b_designed_b_scored_rules27,diff_within_a_rules27,diff_within_b_rules27,interaction_rules27,ci_lower_rules27,ci_upper_rules27,p_value_rules27,estimable_rules27,excludes_zero_rules27,n_scenarios_a_rules27,n_scenarios_b_rules27,p_holm_rules27,significant_rules27,failure_class_rules27,sign_agree
respect-user-attention,enable-meaningful-choices,-0.2361111111111111,-0.1944444444444444,0.1111111111111111,0.5972222222222222,-0.0416666666666666,0.4861111111111111,0.4444444444444444,0.1805555555555555,0.7222222222222222,0.0013998600139986,True,True,12,12,0.0097990200979902,True,,-0.1805555555555555,0.0694444444444444,-0.0555555555555555,0.5833333333333334,-0.25,0.638888888888889,0.3888888888888889,0.0277777777777776,0.763888888888889,0.0393960603939606,True,True,12,12,0.1575842415758424,False,"directional, uncorrected",True
respect-user-attention,enhance-human-capabilities,-0.2361111111111111,-0.0555555555555555,-0.0555555555555555,0.7916666666666666,-0.1805555555555555,0.8472222222222222,0.6666666666666666,0.3472222222222222,0.9722222222222222,0.0003999600039996,True,True,12,12,0.0055994400559944,True,,-0.1805555555555555,0.2638888888888889,-0.0833333333333333,0.8472222222222222,-0.4444444444444444,0.9305555555555556,0.4861111111111111,0.1666666666666667,0.8055555555555556,0.0025997400259974,True,True,12,12,0.0207979202079792,True,,True
respect-user-attention,protect-dignity-and-safety,-0.2361111111111111,-0.3472222222222222,0.2777777777777778,0.6111111111111112,0.1111111111111111,0.3333333333333333,0.4444444444444445,0.2361111111111111,0.6666666666666666,0.0001999800019998,True,True,12,12,0.0055994400559944,True,,-0.1805555555555555,0.0416666666666666,0.0277777777777777,0.75,-0.2222222222222222,0.7222222222222222,0.5,0.236111111111111,0.763888888888889,0.0005999400059994,True,True,12,12,0.0065993400659934,True,,True
respect-user-attention,foster-healthy-relationships,-0.2361111111111111,-0.2777777777777778,0.2222222222222222,0.7638888888888888,0.0416666666666666,0.5416666666666666,0.5833333333333333,0.2083333333333333,0.9166666666666666,0.003999600039996,True,True,12,12,0.023997600239976,True,,-0.1805555555555555,-0.1388888888888889,0.0555555555555555,0.7222222222222222,-0.0416666666666666,0.6666666666666666,0.625,0.2222222222222221,1.0138888888888888,0.0047995200479952,True,True,12,12,0.0335966403359664,True,,True
respect-user-attention,prioritize-long-term-wellbeing,-0.2361111111111111,0.1111111111111111,0.2361111111111111,0.9027777777777778,-0.3472222222222222,0.6666666666666667,0.3194444444444445,-0.0277777777777777,0.6527777777777777,0.0753924607539246,True,False,12,12,0.2261773822617738,False,underpowered,-0.1805555555555555,0.375,-0.0138888888888888,0.9305555555555556,-0.5555555555555556,0.9444444444444444,0.3888888888888888,0.0694444444444444,0.6944444444444444,0.0217978202179782,True,True,12,12,0.1307869213078692,False,"directional, uncorrected",True
respect-user-attention,be-transparent-and-honest,-0.2361111111111111,-0.4722222222222222,-0.1666666666666666,0.3333333333333333,0.2361111111111111,0.5,0.7361111111111112,0.3055555555555556,1.1527777777777777,0.0007999200079992,True,True,12,12,0.0063993600639936,True,,-0.1805555555555555,-0.4444444444444444,-0.1944444444444444,0.3472222222222222,0.2638888888888888,0.5416666666666666,0.8055555555555555,0.3055555555555556,1.2777777777777777,0.0017998200179982,True,True,12,12,0.0161983801619838,True,,True
respect-user-attention,design-for-equity-and-inclusion,-0.2361111111111111,-0.4027777777777778,0.2222222222222222,0.4166666666666667,0.1666666666666666,0.1944444444444444,0.3611111111111111,-0.1249999999999999,0.8055555555555556,0.1487851214878512,True,False,12,12,0.2975702429757024,False,underpowered,-0.1805555555555555,-0.2777777777777778,-0.1111111111111111,0.3611111111111111,0.0972222222222222,0.4722222222222222,0.5694444444444444,0.0138888888888888,1.0833333333333337,0.0483951604839516,True,True,12,12,0.1575842415758424,False,"directional, uncorrected",True
enable-meaningful-choices,enhance-human-capabilities,0.5972222222222222,0.8472222222222222,0.0138888888888888,0.7916666666666666,-0.25,0.7777777777777778,0.5277777777777778,0.3055555555555556,0.75,0.0001999800019998,True,True,12,12,0.0055994400559944,True,,0.5833333333333334,0.8333333333333334,0.0277777777777777,0.8472222222222222,-0.25,0.8194444444444444,0.5694444444444444,0.2916666666666666,0.8472222222222221,0.0003999600039996,True,True,12,12,0.0055994400559944,True,,True
enable-meaningful-choices,protect-dignity-and-safety,0.5972222222222222,-0.0694444444444444,0.6527777777777778,0.6111111111111112,0.6666666666666666,-0.0416666666666666,0.625,0.3194444444444444,0.9305555555555556,0.0001999800019998,True,True,12,12,0.0055994400559944,True,,0.5833333333333334,0.0972222222222222,0.6388888888888888,0.75,0.4861111111111111,0.1111111111111111,0.5972222222222223,0.2361111111111111,0.9583333333333334,0.0003999600039996,True,True,12,12,0.0055994400559944,True,,True
enable-meaningful-choices,foster-healthy-relationships,0.5972222222222222,-0.0416666666666666,0.6805555555555556,0.7638888888888888,0.6388888888888888,0.0833333333333332,0.7222222222222221,0.3333333333333332,1.1111111111111112,0.0003999600039996,True,True,12,12,0.0055994400559944,True,,0.5833333333333334,-0.2361111111111111,0.6666666666666666,0.7222222222222222,0.8194444444444444,0.0555555555555555,0.875,0.486111111111111,1.25,0.0001999800019998,True,True,12,12,0.0055994400559944,True,,True
